reproduction_rate,alpha,successor_capability,phi,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.062,0.2,9.0,10.0,False,True,False,129,13,1.8343992437824197,37.635254035756404,0.0,0.0
0.062,0.2,9.0,10.0,True,False,False,200,13,1.8105837004412277,36.06869627372339,6.366458090556135,0.07432436835819253
0.062,0.2,9.0,10.0,False,True,False,102,13,1.8077142322483368,37.0698792691865,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,141,13,1.8229407099327462,36.47589470487951,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,103,13,1.8134207553766866,36.35604215239483,0.0,0.0
0.062,0.2,9.0,10.0,True,False,False,242,13,1.8121437867836108,36.95500710993136,7.35053259684706,0.08662622974611259
0.062,0.2,9.0,10.0,False,True,False,115,13,1.8113615206805953,36.81737172956661,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,44,13,1.7808444575690032,36.05364359203069,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,120,13,1.808094528258796,36.8031441633565,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,22,12,1.0545652526351341,23.236226224582794,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,39,13,1.7805663733553698,35.955429988940104,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,94,13,1.8020297693024796,36.56362110840804,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,76,13,1.8052309898153287,36.643763329055766,0.0,0.0
0.062,0.2,9.0,10.0,True,False,False,201,13,1.8171072154323016,36.196800271819356,5.844808468603644,0.06780325494802156
0.062,0.2,9.0,10.0,False,True,False,161,13,1.799131533213955,36.829265992341455,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,150,13,1.8075425027705974,35.913560093631865,0.0,0.0
0.062,0.2,9.0,10.0,True,False,False,214,13,1.8171566793768343,36.179763540592546,6.67455231921592,0.07817583743316078
0.062,0.2,12.0,10.0,False,True,False,169,12,1.5825604153884483,33.19548021756782,0.0,0.0
0.062,0.2,12.0,10.0,False,True,False,105,12,1.5559119048356476,31.73486682364488,0.0,0.0
0.062,0.2,12.0,10.0,True,False,False,246,12,1.5581796859052608,32.234707049979626,7.357457116879887,0.0867127928603971
0.062,0.2,12.0,10.0,True,False,False,262,12,1.5798575421913192,32.68332441824816,7.586539794160797,0.08957654285807368
0.062,0.2,12.0,10.0,False,True,False,134,12,1.5763351400181773,32.45708792344616,0.0,0.0
0.062,0.2,12.0,10.0,False,True,False,120,12,1.5763736274005953,33.195919383380264,0.0,0.0
0.062,0.2,12.0,10.0,False,True,False,151,12,1.5672046060757716,32.54968779099743,0.0,0.0
0.062,0.2,12.0,10.0,False,True,False,120,12,1.5563390788854636,31.726430646045863,0.0,0.0
0.062,0.2,12.0,10.0,False,True,False,110,12,1.5622523270664204,32.27424920531618,0.0,0.0
0.062,0.2,12.0,10.0,True,False,False,174,12,1.5814586473912102,32.03935767402439,5.278879519929097,0.06072860821306991
0.062,0.2,12.0,10.0,False,True,False,71,12,1.557098701413479,32.090690949666794,0.0,0.0
0.062,0.2,12.0,10.0,False,True,False,87,12,1.5771450733881982,32.67586977410019,0.0,0.0
