alpha,successor_capability,phi,reproduction_rate,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.1,2.5,10.0,0.09,True,False,False,3030,122,0.053986143566474305,3.872564627127403,7.396852829760785e+23,1.479372046778701e+22
0.1,2.5,10.0,0.09,True,False,False,3090,106,0.11273009245666757,3.94600561348882,1.1246258871131254e+21,2.2492540256374534e+19
0.1,2.5,10.0,0.09,True,False,False,3154,116,0.09092110608243323,3.9452267459631836,6.463941356197813e+22,1.292789565300971e+21
0.1,2.5,10.0,0.09,True,False,False,3041,74,0.3514365864459222,3.917322469656959,2610674061303072.5,52213533488326.61
0.1,2.5,10.0,0.09,True,False,False,3070,123,0.11575933035531785,3.8945572753678332,1.107216260297201e+24,2.214434737217835e+22
0.1,2.5,10.0,0.09,True,False,False,3108,116,0.13651093065206765,3.9377106171838996,6.489395432559886e+22,1.2978803855959327e+21
0.1,2.5,10.0,0.09,True,False,False,3252,118,0.09825139550718975,3.933286795877625,1.4576846624415183e+23,2.91537224313306e+21
0.1,2.5,10.0,0.09,True,False,False,3108,114,0.12035657099640831,3.9211369783440224,2.8815301719703807e+22,5.763066113426404e+20
0.1,2.5,10.0,0.09,True,False,False,3089,124,0.09852006473495979,3.939330430887189,1.6581231154427873e+24,3.316249550725534e+22
0.1,2.5,10.0,0.09,True,False,False,3080,124,0.0915100238045631,3.953153851891434,1.6660699762962977e+24,3.3321432877874987e+22
0.1,2.5,10.0,0.09,True,False,False,3200,106,0.127598520977334,3.9215836211240322,1.1222070161270775e+21,2.244416278633348e+19
0.1,2.5,10.0,0.09,True,False,False,3327,103,0.16544211957148236,3.936757085156146,3.3369279676967564e+20,6.673862614951357e+18
0.1,2.5,10.0,0.09,True,False,False,3046,94,0.2134689980857494,3.914296236441956,8.660181129323659e+18,1.7320379593513366e+17
0.1,2.5,10.0,0.09,True,False,False,3066,110,0.14338802963435043,3.9658489273971327,5.693133615938339e+21,1.1386278627843629e+20
0.1,2.5,10.0,0.09,True,False,False,3038,128,0.16417787653723087,3.9510897728751084,8.365265248588609e+24,1.6730547245225233e+23
0.1,2.5,10.0,0.09,True,False,False,3126,103,0.2989774515486155,3.961320206717099,3.327863390880012e+20,6.655733443597386e+18
0.1,2.5,10.0,0.09,True,False,False,3170,115,0.1152120158396722,3.9221834349125233,4.333361235529559e+22,8.666731146041594e+20
0.1,2.5,10.0,0.09,True,False,False,3153,117,0.12148717296205412,3.9170978357391277,9.693412371934226e+22,1.9386844149409786e+21
