arm,seed,steps_completed,yield_condition_met_count,yield_condition_blocked_count,extinct,collapsed,final_population,final_validator_dependency_mean,final_validator_dependency_max
AS_PUBLISHED,700000119,300,1,0,False,False,449,0.0,0.0
ZERO_STRENGTH,700000120,300,1,0,False,False,435,0.0,0.0
ZERO_DEPENDENCY,700000120,300,1,0,False,False,435,0.0,0.0
AS_PUBLISHED,700000120,300,1,0,False,False,435,0.0,0.0
ZERO_STRENGTH,700000121,300,1,0,False,False,473,0.0,0.0
ZERO_DEPENDENCY,700000121,300,1,0,False,False,473,0.0,0.0
AS_PUBLISHED,700000121,300,1,0,False,False,473,0.0,0.0
ZERO_STRENGTH,700000122,300,1,0,False,False,481,0.0,0.0
ZERO_DEPENDENCY,700000122,300,1,0,False,False,481,0.0,0.0
AS_PUBLISHED,700000122,300,1,0,False,False,481,0.0,0.0
